Name,Name (TR),Title,Title (TR),Description,Description (TR),Path,Path (TR)
Home,Ana sayfa,Smart Home Systems - Livicom Turkey,Akıllı Ev Sistemleri - Livicom Türkiye,"Livicom - your smart home! Manage security, home devices, and engineering systems using scenarios and schedules","Livicom - akıllı eviniz! Senaryolar ve programları kullanarak güvenliği, ev cihazlarını ve mühendislik sistemlerini yönetin",/,/
Catalog,,Smart Home Products - Livicom Turkey,,Wireless radio sensors and control units for Livicom Smart Home. Livicom Turkey,Livicom Smart Home için kablosuz radyo sensörleri ve kontrol üniteleri. Livicom Türkiye,/catalog,
App,,Smart Home Mobile App - Livicom Turkey,Akıllı Ev Mobil Uygulaması - Livicom Türkiye,Livicom Turkey - Smart Home Mobile Apps,,/app,
Technology,,Smart Home System Technologies - Livicom Turkey,Bir Evi Akıllı Yapan Teknoloji - Livicom,Livicom Turkey - Smart Home Technologies,"Bir evi akıllı yapan, güvenlik, arıza koruması ve konfor sağlayan teknolojiler.",/technology,
About us,Hakkımızda,Livicom Turkey - About Us Page,Livicom Türkiye Hakkında,Livicom Turkey - smart home devices catalogs,,/about-us,/hakkimizda
